Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2024-02-01, Phường Bến Thành,2024,2,1,0.8660254037844386,0.5000000000000001,20.06079945507198,515578151.4504896,20.034524731431553,20.238367790737723,20.42683107020342,20.233241197457566,20.11098109551057
2024-03-01, Phường Bến Thành,2024,3,1,1.0,6.123233995736766e-17,20.40865976401803,730076413.4944191,20.06079945507198,20.034524731431553,20.238367790737723,20.111230659080416,20.15258097617273
2024-04-01, Phường Bến Thành,2024,4,2,0.8660254037844387,-0.4999999999999998,20.30071862089596,655375308.3626252,20.40865976401803,20.06079945507198,20.034524731431553,20.167994650173853,20.195526306067936
2024-05-01, Phường Bến Thành,2024,5,2,0.49999999999999994,-0.8660254037844387,20.239896225424598,616701840.1377037,20.30071862089596,20.40865976401803,20.06079945507198,20.25672594666199,20.244983572059777
2024-06-01, Phường Bến Thành,2024,6,2,1.2246467991473532e-16,-1.0,20.578151644541784,864923518.774725,20.239896225424598,20.30071862089596,20.40865976401803,20.316424870112865,20.21382776459664
2024-07-01, Phường Bến Thành,2024,7,3,-0.4999999999999997,-0.8660254037844388,20.39990062376599,723709496.8502017,20.578151644541784,20.239896225424598,20.30071862089596,20.372922163620782,20.27045840689732
2024-08-01, Phường Bến Thành,2024,8,3,-0.8660254037844384,-0.5000000000000004,20.602029499716167,885824580.5238551,20.39990062376599,20.578151644541784,20.239896225424598,20.405982831244124,20.331354388953056
2024-09-01, Phường Bến Thành,2024,9,3,-1.0,-1.8369701987210297e-16,20.494626853400007,795615711.0266699,20.602029499716167,20.39990062376599,20.578151644541784,20.52669392267465,20.421559396393757
2024-10-01, Phường Bến Thành,2024,10,4,-0.8660254037844386,0.5000000000000001,20.18585809537284,584260845.111597,20.494626853400007,20.602029499716167,20.39990062376599,20.498852325627386,20.435887244624084
2024-11-01, Phường Bến Thành,2024,11,4,-0.5000000000000004,0.8660254037844384,20.042273693203253,506114603.748012,20.18585809537284,20.494626853400007,20.602029499716167,20.427504816163005,20.416743823703566
2024-12-01, Phường Bến Thành,2024,12,4,-2.4492935982947064e-16,1.0,20.21956559895449,604290498.0420885,20.042273693203253,20.18585809537284,20.494626853400007,20.240919547325365,20.383806735000007
2025-01-01, Phường Bến Thành,2025,1,1,0.49999999999999994,0.8660254037844387,20.597612714089014,881920710.8680792,20.21956559895449,20.042273693203253,20.18585809537284,20.149232462510195,20.324042394068794
2025-03-01, Phường Bến Thành,2025,3,1,1.0,6.123233995736766e-17,20.417557213881437,736601215.7951115,20.597612714089014,20.21956559895449,20.042273693203253,20.28648400208225,20.356994409122628
2025-04-01, Phường Bến Thành,2025,4,2,0.8660254037844387,-0.4999999999999998,20.353391919744034,690821424.8446631,20.417557213881437,20.597612714089014,20.21956559895449,20.41157850897498,20.326249028150173
2025-05-01, Phường Bến Thành,2025,5,2,0.49999999999999994,-0.8660254037844387,20.527599720856145,822286736.1603808,20.353391919744034,20.417557213881437,20.597612714089014,20.456187282571495,20.302709872540845
2025-06-01, Phường Bến Thành,2025,6,2,1.2246467991473532e-16,-1.0,20.1469814201327,561982584.1682266,20.527599720856145,20.353391919744034,20.417557213881437,20.432849618160542,20.359666810121396
2025-07-01, Phường Bến Thành,2025,7,3,-0.4999999999999997,-0.8660254037844388,20.47668440585536,781467722.1766496,20.1469814201327,20.527599720856145,20.353391919744034,20.34265768691096,20.37711809794297
2025-08-01, Phường Bến Thành,2025,8,3,-0.8660254037844384,-0.5000000000000004,20.50367169454899,802844571.4223944,20.47668440585536,20.1469814201327,20.527599720856145,20.3837551822814,20.419971232426448
2021-07-01, Phường Cô Giang,2021,7,3,-0.4999999999999997,-0.8660254037844388,19.712455958982247,363924125.0596356,19.795887809800345,19.475751148788657,19.45688837655485,19.576175778381284,19.479821928527112
2021-08-01, Phường Cô Giang,2021,8,3,-0.8660254037844384,-0.5000000000000004,19.98498845514085,477936507.936508,19.712455958982247,19.795887809800345,19.475751148788657,19.661364972523753,19.50540767927931
2021-09-01, Phường Cô Giang,2021,9,3,-1.0,-1.8369701987210297e-16,19.67045956223335,348957103.2776411,19.98498845514085,19.712455958982247,19.795887809800345,19.831110741307814,19.667980908423655
2021-10-01, Phường Cô Giang,2021,10,4,-0.8660254037844386,0.5000000000000001,19.471586281665786,286023999.0910985,19.67045956223335,19.98498845514085,19.712455958982247,19.789301325452147,19.682738551916717
2021-11-01, Phường Cô Giang,2021,11,4,-0.5000000000000004,0.8660254037844384,19.75703641874951,380515098.8650763,19.471586281665786,19.67045956223335,19.98498845514085,19.709011433013327,19.68518820276854
2021-12-01, Phường Cô Giang,2021,12,4,-2.4492935982947064e-16,1.0,19.65568542700982,343839461.28669965,19.75703641874951,19.471586281665786,19.67045956223335,19.633027420882883,19.73206908109535
2022-01-01, Phường Cô Giang,2022,1,1,0.49999999999999994,0.8660254037844387,19.4690637212915,285303395.5474654,19.65568542700982,19.75703641874951,19.471586281665786,19.628102709141704,19.70870201729693
